"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP","Current_Player"
"2022-2023","Barcelona","La Liga","Chadi Riad","MAR","MF","19",NA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/b3b9b8b8/Chadi-Riad",1,"No"
"2022-2023","Barcelona","La Liga","Arnau Tenas","ESP","GK","21",NA,0,NA,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/30670b0e/Arnau-Tenas",0,"No"
"2022-2023","Barcelona","La Liga","Ander Astralaga","ESP","GK","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/031e0283/Ander-Astralaga",0,"Yes"
"2022-2023","Barcelona","La Liga","Marc Casado","ESP","MF","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/2ef08833/Marc-Casado",0,"Yes"
"2022-2023","Barcelona","La Liga","Estanis","ESP","FW","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ace50e9f/Estanis",0,"No"
"2022-2023","Barcelona","La Liga","Marc Guiu","ESP","FW","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/d3d774cc/Marc-Guiu",0,"Yes"
"2022-2023","Barcelona","La Liga","Unai Hernandez","ESP","MF","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5e39ce2c/Unai-Hernandez",0,"Yes"
"2022-2023","Barcelona","La Liga","Miralem Pjanić","BIH","MF","32",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/ad6df2d5/Miralem-Pjanic",0,"No"
"2022-2023","Barcelona","La Liga","Pau Prim","ESP","MF","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9597e6d4/Pau-Prim",0,"Yes"
"2022-2023","Barcelona","La Liga","Daniel Rodriguez","ESP","MF","16",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/f9cbad15/Daniel-Rodriguez",0,"No"
"2023-2024","Barcelona","La Liga","İlkay Gündoğan","GER","MF","32",NA,33,2994,33.3,5,9,14,4,1,2,5,0,7.3,5.7,10.3,16,71,224,116,0.15,0.27,0.42,0.12,0.39,0.22,0.31,0.53,0.17,0.48,"https://fbref.com/en/players/819b3158/Ilkay-Gundogan",36,"Yes"
"2023-2024","Barcelona","La Liga","Jules Koundé","FRA","DF","24",NA,32,2899,32.2,1,2,3,1,0,0,4,0,2,2,2.2,4.2,67,245,64,0.03,0.06,0.09,0.03,0.09,0.06,0.07,0.13,0.06,0.13,"https://fbref.com/en/players/4d1666ff/Jules-Kounde",35,"Yes"
"2023-2024","Barcelona","La Liga","Robert Lewandowski","POL","FW","34",NA,32,2750,30.6,19,8,27,15,4,4,5,0,18.1,15,4.9,19.9,43,64,168,0.62,0.26,0.88,0.49,0.75,0.59,0.16,0.75,0.49,0.65,"https://fbref.com/en/players/8d78e732/Robert-Lewandowski",35,"Yes"
"2023-2024","Barcelona","La Liga","João Cancelo","POR","DF","29",NA,29,2503,27.8,2,4,6,2,0,0,7,0,1.6,1.6,6.1,7.7,106,141,193,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28,"https://fbref.com/en/players/bd6351cd/Joao-Cancelo",32,"Yes"
"2023-2024","Barcelona","La Liga","Marc-André ter Stegen","GER","GK","31",NA,28,2520,28,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen",28,"Yes"
"2023-2024","Barcelona","La Liga","Andreas Christensen","DEN","DF,MF","27",NA,27,1979,22,2,2,4,2,0,0,4,0,1,1,1.1,2.2,24,117,6,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.1,0.05,0.1,"https://fbref.com/en/players/1cb49278/Andreas-Christensen",30,"Yes"
"2023-2024","Barcelona","La Liga","Lamine Yamal","ESP","FW","16",NA,22,2201,24.5,5,5,10,5,0,0,3,0,5.2,5.2,6.2,11.4,123,80,350,0.2,0.2,0.41,0.2,0.41,0.21,0.25,0.47,0.21,0.47,"https://fbref.com/en/players/82ec26c1/Lamine-Yamal",37,"Yes"
"2023-2024","Barcelona","La Liga","Ronald Araújo","URU","DF","24",NA,21,1997,22.2,1,2,3,1,0,0,6,0,2.1,2.1,1.4,3.5,24,101,11,0.05,0.09,0.14,0.05,0.14,0.09,0.07,0.16,0.09,0.16,"https://fbref.com/en/players/2bef2bca/Ronald-Araujo",25,"Yes"
"2023-2024","Barcelona","La Liga","Frenkie de Jong","NED","MF","26",NA,20,1634,18.2,2,0,2,2,0,0,7,0,0.7,0.7,2.2,2.9,69,168,38,0.11,0,0.11,0.11,0.11,0.04,0.12,0.16,0.04,0.16,"https://fbref.com/en/players/1bacc518/Frenkie-de-Jong",20,"Yes"
"2023-2024","Barcelona","La Liga","Pau Cubarsí","ESP","DF","16",NA,18,1558,17.3,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,8,75,2,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03,"https://fbref.com/en/players/cc7888f3/Pau-Cubarsi",19,"Yes"
"2023-2024","Barcelona","La Liga","João Félix","POR","FW","23",NA,18,1540,17.1,7,3,10,7,0,0,3,0,8.7,8.7,3.1,11.9,69,68,169,0.41,0.18,0.58,0.41,0.58,0.51,0.18,0.69,0.51,0.69,"https://fbref.com/en/players/8aafd64f/Joao-Felix",30,"Yes"
"2023-2024","Barcelona","La Liga","Raphinha","BRA","FW,MF","26",NA,17,1368,15.2,6,9,15,5,1,1,4,1,7.4,6.6,5.7,12.3,49,57,164,0.39,0.59,0.99,0.33,0.92,0.48,0.37,0.86,0.43,0.81,"https://fbref.com/en/players/3423f250/Raphinha",28,"Yes"
"2023-2024","Barcelona","La Liga","Pedri","ESP","MF,FW","20",NA,16,1476,16.4,4,2,6,4,0,0,3,0,3.1,3.1,4.2,7.3,41,136,81,0.24,0.12,0.37,0.24,0.37,0.19,0.25,0.44,0.19,0.44,"https://fbref.com/en/players/0d9b2d31/Pedri",24,"Yes"
"2023-2024","Barcelona","La Liga","Alejandro Balde","ESP","DF","19",NA,15,1378,15.3,0,1,1,0,0,0,1,0,0.1,0.1,1.2,1.4,73,41,141,0,0.07,0.07,0,0.07,0.01,0.08,0.09,0.01,0.09,"https://fbref.com/en/players/5ccc9672/Alejandro-Balde",18,"Yes"
"2023-2024","Barcelona","La Liga","Fermin López","ESP","MF,FW","20",NA,14,1446,16.1,8,0,8,8,0,0,2,0,7.5,7.5,1.1,8.6,42,76,93,0.5,0,0.5,0.5,0.5,0.47,0.07,0.54,0.47,0.54,"https://fbref.com/en/players/c1fe5f0b/Fermin-Lopez",31,"Yes"
"2023-2024","Barcelona","La Liga","Iñigo Martínez","ESP","DF","32",NA,13,1296,14.4,0,0,0,0,0,0,5,0,0.4,0.4,0,0.4,33,97,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03,"https://fbref.com/en/players/3fc45c73/Inigo-Martinez",20,"Yes"
"2023-2024","Barcelona","La Liga","Ferrán Torres","ESP","FW","23",NA,12,1211,13.5,7,2,9,7,0,0,2,0,5.5,5.5,2.7,8.2,30,44,113,0.52,0.15,0.67,0.52,0.67,0.41,0.2,0.61,0.41,0.61,"https://fbref.com/en/players/9e1035f8/Ferran-Torres",29,"Yes"
"2023-2024","Barcelona","La Liga","Oriol Romeu","ESP","MF","31",NA,11,936,10.4,0,1,1,0,0,0,4,0,0.7,0.7,1.3,2,12,66,4,0,0.1,0.1,0,0.1,0.07,0.12,0.19,0.07,0.19,"https://fbref.com/en/players/4b511457/Oriol-Romeu",28,"Yes"
"2023-2024","Barcelona","La Liga","Gavi","ESP","MF,FW","18",NA,10,944,10.5,1,1,2,1,0,0,5,0,0.9,0.9,1.1,2,26,39,38,0.1,0.1,0.19,0.1,0.19,0.09,0.1,0.19,0.09,0.19,"https://fbref.com/en/players/19cae58d/Gavi",12,"Yes"
"2023-2024","Barcelona","La Liga","Iñaki Peña","ESP","GK","24",NA,10,900,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/cc1c5035/Inaki-Pena",10,"Yes"
"2023-2024","Barcelona","La Liga","Sergi Roberto","ESP","MF,DF","31",NA,10,860,9.6,3,2,5,3,0,0,4,0,1.7,1.7,0.8,2.4,13,50,33,0.31,0.21,0.52,0.31,0.52,0.18,0.08,0.26,0.18,0.26,"https://fbref.com/en/players/335fa267/Sergi-Roberto",14,"Yes"
"2023-2024","Barcelona","La Liga","Héctor Fort","ESP","DF","16",NA,4,318,3.5,0,2,2,0,0,0,0,0,0,0,0.8,0.8,3,7,38,0,0.57,0.57,0,0.57,0,0.23,0.23,0,0.23,"https://fbref.com/en/players/2e31f3a6/Hector-Fort",7,"Yes"
"2023-2024","Barcelona","La Liga","Marcos Alonso","ESP","DF","32",NA,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0,0,0,0,0,0.03,0.18,0.21,0.03,0.21,"https://fbref.com/en/players/f4290206/Marcos-Alonso",5,"Yes"
"2023-2024","Barcelona","La Liga","Vitor Roque","BRA","FW","18",NA,2,328,3.6,2,0,2,2,0,0,4,1,2.5,2.5,0,2.6,12,2,26,0.55,0,0.55,0.55,0.55,0.7,0.01,0.71,0.7,0.71,"https://fbref.com/en/players/cb00f1e6/Vitor-Roque",14,"Yes"
"2023-2024","Barcelona","La Liga","Marc Guiu","ESP","FW,MF","17",NA,1,74,0.8,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1,1,1,8,1.22,0,1.22,1.22,1.22,0.92,0.32,1.24,0.92,1.24,"https://fbref.com/en/players/d3d774cc/Marc-Guiu",3,"Yes"
"2023-2024","Barcelona","La Liga","Abde Ezzalzouli","MAR","FW,MF","21",NA,0,68,0.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,7,1,12,0,0,0,0,0,0.28,0.09,0.37,0.28,0.37,"https://fbref.com/en/players/bed68338/Abde-Ezzalzouli",2,"Yes"
"2023-2024","Barcelona","La Liga","Eric García","ESP","DF","22",NA,0,57,0.6,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0.07,0,0.07,0.07,0.07,"https://fbref.com/en/players/2bed3eab/Eric-Garcia",2,"Yes"
"2023-2024","Barcelona","La Liga","Ansu Fati","ESP","MF,FW","20",NA,0,50,0.6,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,6,4,5,0,0,0,0,0,1.34,0,1.34,1.34,1.34,"https://fbref.com/en/players/0ba976e4/Ansu-Fati",3,"Yes"
"2023-2024","Barcelona","La Liga","Marc Casado","ESP","MF","19",NA,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/2ef08833/Marc-Casado",2,"Yes"
"2023-2024","Barcelona","La Liga","Ander Astralaga","ESP","GK","19",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/031e0283/Ander-Astralaga",0,"Yes"
"2023-2024","Barcelona","La Liga","Aleix Garrido","ESP","MF","19",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5757adc3/Aleix-Garrido",0,"Yes"
"2023-2024","Barcelona","La Liga","Unai Hernandez","ESP","MF","18",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/5e39ce2c/Unai-Hernandez",0,"Yes"
"2023-2024","Barcelona","La Liga","Diego Kochen","USA","GK","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/497144d6/Diego-Kochen",0,"Yes"
"2023-2024","Barcelona","La Liga","Mikayil Ngor Faye","SEN","MF","19",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/b37ae816/Mikayil-Ngor-Faye",0,"Yes"
"2023-2024","Barcelona","La Liga","Pau Prim","ESP","MF","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/9597e6d4/Pau-Prim",0,"Yes"
"2023-2024","Barcelona","La Liga","Pau Victor Delgado","ESP","FW","21",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/e6e7c819/Pau-Victor-Delgado",0,"Yes"
"2023-2024","Barcelona","La Liga","Áron Yaakobishvili","HUN","GK","17",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://fbref.com/en/players/0b8c9180/Aron-Yaakobishvili",0,"Yes"
"2021-2022","Real Madrid","La Liga","Thibaut Courtois","BEL","GK","29",NA,36,3240,36,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/1840e36d/Thibaut-Courtois",36,"Yes"
"2021-2022","Real Madrid","La Liga","Éder Militão","BRA","DF","23",NA,34,3031,33.7,1,2,3,1,0,0,5,0,2.5,2.5,1.1,3.5,22,102,15,0.03,0.06,0.09,0.03,0.09,0.07,0.03,0.11,0.07,0.11,"https://fbref.com/en/players/2784f898/Eder-Militao",34,"Yes"
"2021-2022","Real Madrid","La Liga","Karim Benzema","FRA","FW","33",NA,31,2593,28.8,27,12,39,20,7,11,0,0,23.7,15.1,7.9,23,88,177,252,0.94,0.42,1.35,0.69,1.11,0.83,0.28,1.1,0.52,0.8,"https://fbref.com/en/players/70d74ece/Karim-Benzema",32,"No"
"2021-2022","Real Madrid","La Liga","Casemiro","BRA","MF","29",NA,31,2569,28.5,1,3,4,1,0,0,11,0,2.5,2.5,2.8,5.3,23,162,30,0.04,0.11,0.14,0.04,0.14,0.09,0.1,0.19,0.09,0.19,"https://fbref.com/en/players/4d224fe8/Casemiro",32,"No"
"2021-2022","Real Madrid","La Liga","Vinicius Júnior","BRA","FW","21",NA,30,2690,29.9,17,10,27,17,0,0,6,0,12.3,12.3,8,20.3,225,123,485,0.57,0.33,0.9,0.57,0.9,0.41,0.27,0.68,0.41,0.68,"https://fbref.com/en/players/7111d552/Vinicius-Junior",35,"Yes"
"2021-2022","Real Madrid","La Liga","David Alaba","AUT","DF","29",NA,30,2642,29.4,2,3,5,2,0,0,2,0,1.6,1.6,2.2,3.8,40,154,76,0.07,0.1,0.17,0.07,0.17,0.06,0.07,0.13,0.06,0.13,"https://fbref.com/en/players/05439de2/David-Alaba",30,"Yes"
"2021-2022","Real Madrid","La Liga","Toni Kroos","GER","MF","31",NA,25,2103,23.4,1,3,4,1,0,0,4,0,2.2,2.2,3.2,5.4,40,277,38,0.04,0.13,0.17,0.04,0.17,0.09,0.14,0.23,0.09,0.23,"https://fbref.com/en/players/6ce1f46f/Toni-Kroos",28,"Yes"
"2021-2022","Real Madrid","La Liga","Luka Modrić","CRO","MF","35",NA,25,2032,22.6,2,8,10,1,1,1,4,0,2.5,1.7,5.2,6.8,67,221,87,0.09,0.35,0.44,0.04,0.4,0.11,0.23,0.34,0.07,0.3,"https://fbref.com/en/players/6025fab1/Luka-Modric",28,"Yes"
"2021-2022","Real Madrid","La Liga","Lucas Vázquez","ESP","DF","30",NA,20,1833,20.4,3,0,3,3,0,0,3,0,2.2,2.2,2.5,4.7,58,108,156,0.15,0,0.15,0.15,0.15,0.11,0.12,0.23,0.11,0.23,"https://fbref.com/en/players/fd51b456/Lucas-Vazquez",29,"Yes"
"2021-2022","Real Madrid","La Liga","Ferland Mendy","FRA","DF","26",NA,20,1734,19.3,2,1,3,2,0,0,4,0,1,1,1.4,2.5,71,99,116,0.1,0.05,0.16,0.1,0.16,0.05,0.08,0.13,0.05,0.13,"https://fbref.com/en/players/3cefcaef/Ferland-Mendy",22,"Yes"
"2021-2022","Real Madrid","La Liga","Federico Valverde","URU","MF","23",NA,19,1833,20.4,0,1,1,0,0,0,2,0,0.9,0.9,1.7,2.6,76,129,86,0,0.05,0.05,0,0.05,0.05,0.08,0.13,0.05,0.13,"https://fbref.com/en/players/0959c2a2/Federico-Valverde",31,"Yes"
"2021-2022","Real Madrid","La Liga","Marco Asensio","ESP","FW,MF","25",NA,19,1731,19.2,10,0,10,10,0,0,2,0,7.5,7.5,2.4,9.9,56,80,143,0.52,0,0.52,0.52,0.52,0.39,0.13,0.52,0.39,0.52,"https://fbref.com/en/players/45af8a54/Marco-Asensio",31,"No"
"2021-2022","Real Madrid","La Liga","Nacho","ESP","DF","31",NA,17,1555,17.3,3,0,3,3,0,0,7,0,1.3,1.3,0.3,1.7,15,59,10,0.17,0,0.17,0.17,0.17,0.08,0.02,0.1,0.08,0.1,"https://fbref.com/en/players/2946f9a1/Nacho",28,"Yes"
"2021-2022","Real Madrid","La Liga","Dani Carvajal","ESP","DF","29",NA,17,1551,17.2,1,3,4,1,0,0,1,0,0.5,0.5,2.4,2.9,29,73,108,0.06,0.17,0.23,0.06,0.23,0.03,0.14,0.17,0.03,0.17,"https://fbref.com/en/players/4958bfb2/Dani-Carvajal",24,"Yes"
"2021-2022","Real Madrid","La Liga","Rodrygo","BRA","FW","20",NA,17,1523,16.9,4,4,8,4,0,0,4,0,3.4,3.4,2.4,5.8,76,49,194,0.24,0.24,0.47,0.24,0.47,0.2,0.14,0.34,0.2,0.34,"https://fbref.com/en/players/8f5e92a6/Rodrygo",33,"Yes"
"2021-2022","Real Madrid","La Liga","Eduardo Camavinga","FRA","MF","18",NA,13,1236,13.7,2,1,3,2,0,0,8,0,1.2,1.2,1,2.2,30,79,33,0.15,0.07,0.22,0.15,0.22,0.09,0.07,0.16,0.09,0.16,"https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga",26,"Yes"
"2021-2022","Real Madrid","La Liga","Eden Hazard","BEL","FW,MF","30",NA,7,717,8,0,1,1,0,0,0,3,0,1,1,2,3,41,34,99,0,0.13,0.13,0,0.13,0.13,0.25,0.38,0.13,0.38,"https://fbref.com/en/players/a39bb753/Eden-Hazard",18,"No"
"2021-2022","Real Madrid","La Liga","Marcelo","BRA","DF","33",NA,5,525,5.8,0,2,2,0,0,0,0,0,0.2,0.2,0.7,0.9,17,47,47,0,0.34,0.34,0,0.34,0.04,0.11,0.15,0.04,0.15,"https://fbref.com/en/players/603116a7/Marcelo",12,"No"
"2021-2022","Real Madrid","La Liga","Jesús Vallejo","ESP","DF","24",NA,4,341,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,"https://fbref.com/en/players/c2111b45/Jesus-Vallejo",5,"No"
"2021-2022","Real Madrid","La Liga","Gareth Bale","WAL","FW","32",NA,4,280,3.1,1,0,1,1,0,0,2,0,1.2,1.2,0.1,1.3,6,8,10,0.32,0,0.32,0.32,0.32,0.39,0.03,0.42,0.39,0.42,"https://fbref.com/en/players/a58bb1e1/Gareth-Bale",5,"No"
"2021-2022","Real Madrid","La Liga","Mariano","DOM","FW","27",NA,3,342,3.8,1,1,2,1,0,0,2,0,1.8,1.8,0.8,2.6,10,5,19,0.26,0.26,0.53,0.26,0.53,0.47,0.21,0.68,0.47,0.68,"https://fbref.com/en/players/5c4dc0ff/Mariano",9,"No"
"2021-2022","Real Madrid","La Liga","Isco","ESP","MF,FW","29",NA,3,331,3.7,1,0,1,1,0,0,1,0,0.7,0.7,1.4,2.2,16,42,17,0.27,0,0.27,0.27,0.27,0.2,0.39,0.59,0.2,0.59,"https://fbref.com/en/players/a0b4bb3e/Isco",14,"No"
"2021-2022","Real Madrid","La Liga","Miguel Gutiérrez","ESP","DF","20",NA,3,260,2.9,0,1,1,0,0,0,1,0,0,0,0.4,0.4,9,18,10,0,0.35,0.35,0,0.35,0,0.14,0.14,0,0.14,"https://fbref.com/en/players/7e98cff1/Miguel-Gutierrez",3,"No"
"2021-2022","Real Madrid","La Liga","Dani Ceballos","ESP","MF","24",NA,2,276,3.1,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,6,20,8,0,0,0,0,0,0.23,0.05,0.28,0.22,0.28,"https://fbref.com/en/players/c0617e2b/Dani-Ceballos",11,"Yes"
"2021-2022","Real Madrid","La Liga","Andriy Lunin","UKR","GK","22",NA,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3061e1ec/Andriy-Lunin",2,"Yes"
"2021-2022","Real Madrid","La Liga","Luka Jović","SRB","FW","23",NA,1,369,4.1,1,3,4,1,0,0,1,0,2.3,2.3,0.8,3.1,4,7,17,0.24,0.73,0.98,0.24,0.98,0.56,0.2,0.76,0.56,0.76,"https://fbref.com/en/players/4d8cd038/Luka-Jovic",15,"No"
"2021-2022","Real Madrid","La Liga","Antonio Blanco","ESP","MF","21",NA,0,31,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/506daeac/Antonio-Blanco",1,"No"
"2021-2022","Real Madrid","La Liga","Peter Federico","DOM","MF,DF","19",NA,0,27,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,3,1,3,0,0,0,0,0,0.22,0.7,0.92,0.22,0.92,"https://fbref.com/en/players/1ccd3dae/Peter-Federico",3,"No"
"2021-2022","Real Madrid","La Liga","Mario Gila","ESP","DF","20",NA,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9c435456/Mario-Gila",2,"No"
"2021-2022","Real Madrid","La Liga","Sergio Santos","ESP","DF","20",NA,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,1,0,0,0,0,0,0,0.56,0.56,0,0.56,"https://fbref.com/en/players/cf59e05f/Sergio-Santos",1,"No"
